YHR084W
YLR451W
YER111C
YNL216W
YMR043W
YJR060W
YHR206W
YML007W
YPL248C
YEL009C
YFR034C
YGL071W
YMR037C
YNL068C
YDL056W
YDR423C
YFL021W
YGL013C
YPR065W
YBR049C
YDL020C
YDL106C
YBL103C
YBR083W
YGL073W
YKL015W
YOR028C
YER169W
YIL131C
YJL089W
YPR104C
YBL005W
YDR043C
YDR207C
YDR253C
YDR310C
YKL112W
YLR403W
YMR070W
YDR259C
YHR178W
YJL110C
YLR131C
YNL167C
YPL038W
YDL170W
YGL035C
YLR176C
YOL028C
YOR344C
YPL089C
YCR106W
YHL009C
YKL038W
YKL043W
YKR034W
YDR146C
YDR216W
YDR421W
YLR098C
YLR256W
YPL177C
YBR182C
YDR463W
YHL027W
YHR124W
YIL101C
YML027W
YOR162C
YPL075W
YFL031W
YGL209W
YHR006W
YIL036W
YJL056C
YLR013W
YLR228C
YMR019W
YNL027W
YNL314W
YOL116W
YAL051W
YMR016C
YOR113W
YOR140W
YCR018C
YDL048C
YDR213W
YDR451C
YDR520C
YER088C
YER130C
YGL254W
YGR044C
YGR249W
YML081W
YOL089C
YOR380W
YPL128C
YBL054W
YBR150C
YER028C
YER148W
YGL162W
YJL103C
YKL222C
YML076C
YPL133C
YPR196W
YBR033W
YBR066C
YBR239C
YDR034C
YER184C
YGR067C
YIR013C
YJR127C
YLL054C
YLR014C
YLR278C
YNR063W
YPR009W
YPR013C
MATA1-MATALPHA2-dimer
YBR089C-A
YDR096W
YDR303C
YHR056C
YIL130W
YML113W
YMR168C
YMR280C
YOR172W
YOR337W
YPR052C
YBR267W
YCL067C
YCR065W
YDR169C
YER064C
YGL096W
YIL056W
YJL127C
YLR266C
YPR015C
YPR022C
MAL63
TBP-TFIIA
TBP-TFIIA-TFIIB
TBP-TFIIB
YCL058C
YCR040W
YCR096C
YDL002C
YER069W
YLR375W
YMR072W
YPL021W
YPR086W
YPR186C
